"","school","conference","school_id","year","division","conference_id"
"105","Juniata","Landmark",325,2019,3,30101
"106","Kean","NJAC",329,2019,3,891
"107","Keystone","CSAC",30047,2019,3,21062
"108","King's (PA)","MAC Freedom",336,2019,3,28745
"109","Lancaster Bible","NEAC",30085,2019,3,30071
"110","Lebanon Valley","MAC Commonwealth",351,2019,3,28744
"111","Manhattanville","Skyline",382,2019,3,13054
"112","Marywood","Atlantic East",397,2019,3,30233
"113","McDaniel","Centennial",773,2019,3,9683
"114","Messiah","MAC Commonwealth",411,2019,3,28744
"115","Misericordia","MAC Freedom",16142,2019,3,28745
"116","Montclair St.","NJAC",442,2019,3,891
"117","Moravian","Landmark",443,2019,3,30101
"118","Muhlenberg","Centennial",453,2019,3,9683
"119","Neumann","Atlantic East",1254,2019,3,30233
"120","New Jersey City","NJAC",319,2019,3,891
"121","Penn College","NEAC",30190,2019,3,30071
"122","Penn St.-Abington","NEAC",30114,2019,3,30071
"123","Penn St.-Berks","NEAC",30044,2019,3,30071
"124","Penn St. Harrisburg","NEAC",30081,2019,3,30071
"125","Ramapo","NJAC",564,2019,3,891
"126","Rowan","NJAC",259,2019,3,891
"127","Rutgers-Camden","NJAC",588,2019,3,891
"128","Rutgers-Newark","NJAC",589,2019,3,891
"129","Scranton","Landmark",633,2019,3,30101
"130","Stevenson","MAC Commonwealth",21852,2019,3,28744
"131","Stockton","NJAC",681,2019,3,891
"132","Susquehanna","Landmark",685,2019,3,30101
"133","Swarthmore","Centennial",686,2019,3,9683
"134","TCNJ","NJAC",712,2019,3,891
"135","Ursinus","Centennial",730,2019,3,9683
"136","Valley Forge","CSAC",30166,2019,3,21062
"137","Washington Col.","Centennial",753,2019,3,9683
"138","Widener","MAC Commonwealth",783,2019,3,28744
"139","Wilkes","MAC Freedom",784,2019,3,28745
"140","Wm. Paterson","NJAC",787,2019,3,891
"141","Wilson","CSAC",12973,2019,3,21062
"142","Adrian","Michigan Intercol. Ath. Assn.",4,2019,3,873
"143","Albion","Michigan Intercol. Ath. Assn.",15,2019,3,873
"144","Alfred St.","AMCC",30170,2019,3,30022
"145","Allegheny","NCAC",19,2019,3,897
"146","Alma","Michigan Intercol. Ath. Assn.",21,2019,3,873
"147","Anderson (IN)","HCAC",939,2019,3,9174
"148","Baldwin Wallace","OAC",46,2019,3,901
"149","Bethany (WV)","PAC",59,2019,3,907
"150","Bluffton","HCAC",987,2019,3,9174
"151","Calvin","Michigan Intercol. Ath. Assn.",114,2019,3,873
"152","Capital","OAC",117,2019,3,901
"153","CWRU","UAA",122,2019,3,1471
"154","Chatham","PAC",10972,2019,3,907
"155","D'Youville","AMCC",1059,2019,3,30022
"156","Defiance","HCAC",1050,2019,3,9174
"157","Denison","NCAC",182,2019,3,897
"158","DePauw","NCAC",177,2019,3,897
"159","Earlham","HCAC",195,2019,3,9174
"160","Finlandia","WIAC",30032,2019,3,1473
"161","Franciscan","AMCC",30069,2019,3,30022
"162","Franklin","HCAC",2694,2019,3,9174
"163","Geneva","PAC",30084,2019,3,907
