"opponent","State","Enrollment"
"Wis.-La Crosse","WI",8884
"Wis.-Oshkosh","WI",9274
"Wis.-Platteville","WI",7013
"Wis.-Stevens Point","WI",8697
"Wis.-Stout","WI",6838
"Wis.-Superior","WI",2013
"Wis.-Whitewater","WI",9790
"Wis. Lutheran","WI",966
"Albertus Magnus","CT",1592
"Amherst","MA",1785
"Anna Maria","MA",787
"Babson","MA",1799
"Bates","ME",1753
"Becker","MA",1299
"Bowdoin","ME",1709
"Brandeis","MA",3198
"Bridgewater St.","MA",6771
"Castleton","VT",1839
"Clark (MA)","MA",2159
"Coast Guard","CT",1016
"Colby-Sawyer","NH",930
"Colby","ME",1867
"Curry","MA",2048
"Dean","MA",1154
"Eastern Conn. St.","CT",3969
"Eastern Nazarene","MA",1302
"Elms","MA",1195
"Emerson","MA",3220
"Endicott","MA",1815
"Fitchburg St.","MA",3181
"Framingham St.","MA",3132
"Gordon","MA",1602
"Hamilton","NY",1833
"Husson","ME",2142
"JWU (Providence)","RI",7936
"Keene St.","NH",4133
"Lasell","MA",1054
"Lesley","MA",1543
"Me.-Farmington","ME",2095
"Me.-Presque Isle","ME",1156
"UMass Boston","MA",8281
"UMass Dartmouth","MA",6995
"MCLA","MA",1109
"Mass. Maritime","MA",1066
"Middlebury","VT",2411
"MIT","MA",4105
"Mitchell","CT",751
"New England Col.","NH",792
"Nichols","MA",1101
"Norwich","VT",1911
"NVU-Lyndon","VT",1257
"Pine Manor","MA",397
"Plymouth St.","NH",4075
"Rhode Island Col.","RI",4443
"Rivier","NH",798
"Roger Williams","RI",3778
"Salem St.","MA",6404
"Salve Regina","RI",2002
"Southern Me.","ME",4513
"Springfield","MA",3053
"St. Joseph's (ME)","ME",1026
"Suffolk","MA",4062
"Thomas (ME)","ME",727
"Trinity (CT)","CT",2181
"Tufts","MA",5004
"Wentworth","MA",3418
"Wesleyan (CT)","CT",2748
"Western Conn. St.","CT",4599
"Western New Eng.","MA",2497
"Westfield St.","MA",4385
"Wheaton (MA)","MA",1545
"Williams","MA",1983
